0;27
0;47
2;7
6;12
7;6
7;25
8;34
8;16
10;3
10;49
11;39
14;18
14;7
18;23
19;45
19;16
23;18
24;16
24;40
26;38
26;28
28;44
28;21
29;24
29;20
32;6
35;21
37;2
39;0
39;48
40;45
41;14
41;15
42;47
43;9
43;1
44;0
46;17
47;5
47;38
48;29
49;32
49;33
1;41
1;7
2;37
2;13
4;26
5;35
7;11
8;46
9;49
9;13
13;7
15;43
16;14
17;19
17;7
18;45
19;29
20;10
21;33
21;28
23;7
25;20
26;40
28;13
30;17
30;5
31;42
31;29
33;36
35;38
35;13
36;47
36;39
37;14
37;40
39;4
40;9
40;34
41;37
43;15
43;6
44;6
44;48
45;40
45;42
46;27
0;14
0;41
1;26
3;16
3;7
4;43
4;34
5;4
5;38
7;30
7;35
8;40
9;17
10;43
11;12
11;29
13;17
13;40
15;21
17;1
21;46
23;49
24;17
25;37
26;9
27;43
28;2
28;27
29;20
30;46
32;16
32;2
33;10
34;9
34;49
38;37
38;15
39;17
39;48
40;43
40;13
43;26
43;17
44;30
46;35
46;10
47;49
47;36
0;5
1;6
1;7
2;46
2;32
4;25
5;9
6;13
6;39
9;1
9;31
11;17
12;41
12;20
13;5
15;38
15;36
17;44
17;21
20;40
20;33
22;36
22;31
26;7
26;12
27;21
28;32
29;25
29;14
30;9
30;1
31;17
32;9
32;18
33;1
35;8
36;9
36;12
37;1
37;46
39;5
39;16
41;17
41;33
44;21
45;4
47;20
47;17
48;45
48;24
49;8
49;5
0;18
1;5
1;28
4;11
5;21
5;35
8;1
8;38
10;41
10;12
11;18
11;31
12;36
12;39
13;35
14;9
14;7
15;42
15;12
17;13
17;42
19;27
19;33
22;33
22;1
24;25
24;13
25;23
25;32
27;14
30;7
33;49
33;9
34;9
35;23
36;20
36;49
39;46
42;36
42;17
43;21
44;6
45;42
45;40
47;9
49;24
49;36
2;33
2;47
3;36
3;40
4;40
6;1
9;42
9;22
10;6
10;25
11;31
11;48
12;9
12;16
14;46
15;23
19;21
20;17
20;47
21;15
21;40
22;18
22;33
23;19
24;34
25;9
25;40
26;37
27;4
29;41
31;3
31;35
32;40
32;22
33;23
34;17
36;14
37;49
38;1
39;8
41;5
41;7
42;17
42;31
43;40
44;17
44;29
45;4
45;1
46;1
48;33
48;17
49;18
49;14
0;9
1;15
1;12
2;12
3;33
3;7
4;8
5;40
6;47
8;3
8;33
9;24
9;38
12;31
13;9
15;47
18;32
19;18
19;7
20;32
20;9
22;37
23;17
23;31
28;12
30;29
30;26
31;9
32;18
32;14
35;41
35;23
37;22
37;5
38;0
38;17
39;22
39;10
43;7
44;49
46;25
47;40
48;26
48;12
49;31
49;12
1;41
2;48
3;30
3;35
4;23
4;19
5;14
6;28
8;1
9;37
11;17
13;26
13;18
14;25
15;1
15;14
17;11
17;45
18;27
18;22
19;26
19;48
20;47
20;18
21;45
21;8
22;4
22;3
23;33
23;12
24;10
24;17
25;24
25;31
27;9
28;25
29;35
29;9
31;1
32;12
32;35
33;11
33;4
36;22
